,League,Season,Squad,Goals Scored,xG,xA,Goals Conceded,Points,League Group
401,SeriaA,2017/2018,SS Lazio,89,66.51,47.49,49,72.0,Top Half
402,SeriaA,2017/2018,SSC Napoli,77,70.45,53.59,29,91.0,Top Half
403,SeriaA,2017/2018,AS Roma,61,65.63,48.65,28,77.0,Top Half
404,SeriaA,2017/2018,SPAL,39,34.59,21.0,59,38.0,Bottom Half
405,SeriaA,2017/2018,UC Sampdoria,56,53.12,36.11,60,54.0,Top Half
406,SeriaA,2017/2018,US Sassuolo,29,47.129999999999995,26.97,59,43.0,Top Half
407,SeriaA,2017/2018,Torino FC,54,46.6,35.43,46,54.0,Top Half
408,SeriaA,2017/2018,Udinese Calcio,48,45.17,31.73,63,40.0,Bottom Half
409,SeriaA,2017/2018,Hellas Verona,30,33.74,21.57,78,25.0,Bottom Half
411,SeriaA,2018/2019,Atalanta BC,77,74.39,57.57,46,69.0,Top Half
412,SeriaA,2018/2019,Bologna FC 1909,48,48.1,32.05,56,44.0,Top Half
413,SeriaA,2018/2019,Cagliari Calcio,36,40.910000000000004,29.36,54,41.0,Bottom Half
414,SeriaA,2018/2019,Chievo Verona,25,36.49,25.73,75,20.0,Bottom Half
416,SeriaA,2018/2019,ACF Fiorentina,47,54.11,35.99,45,41.0,Bottom Half
418,SeriaA,2018/2019,Genoa CFC,39,44.53,31.09,57,38.0,Bottom Half
419,SeriaA,2018/2019,Inter Milan,57,66.48,48.21,33,69.0,Top Half
420,SeriaA,2018/2019,Juventus FC,70,64.52,45.27,30,90.0,Top Half
421,SeriaA,2018/2019,SS Lazio,56,61.25,45.49,46,59.0,Top Half
422,SeriaA,2018/2019,SSC Napoli,74,68.24,55.62,36,79.0,Top Half
423,SeriaA,2018/2019,Parma Calcio 1913,41,41.1,26.7,61,41.0,Bottom Half
424,SeriaA,2018/2019,AS Roma,66,68.38,49.76,48,66.0,Top Half
425,SeriaA,2018/2019,SPAL,44,43.29,27.62,56,42.0,Bottom Half
426,SeriaA,2018/2019,UC Sampdoria,60,53.21,35.37,51,53.0,Top Half
427,SeriaA,2018/2019,US Sassuolo,53,49.76,35.68,60,43.0,Top Half
428,SeriaA,2018/2019,Torino FC,52,46.5,31.78,37,63.0,Top Half
